
elapsed_time_ms,position_rad,velocity_rad_per_sec,home,photocell,
5283,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5284,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5285,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5286,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5287,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5288,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5289,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5290,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5291,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5292,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5293,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5294,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5295,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5296,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5297,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5298,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5299,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5300,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5301,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5302,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5303,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5304,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5305,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5306,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5307,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5308,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5309,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5310,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5311,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5312,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5313,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5314,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5315,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5316,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5317,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5318,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5319,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
5320,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
